versus,isAway,id_promiedos,id_escudoteca,datetime,streaming,link,youtube,result,boleteria
Los Andes,TRUE,los-andes/hbai,los_andes,2025-02-08 17:00:00,https://play.tycsports.com/primera-nacional/los-andes-vs-patronato-id632076.html,https://www.promiedos.com.ar/game/los-andes-vs-patronato-de-parana/edcefbf,https://www.youtube.com/watch?v=_JkL_nAvjlg,1-3 (W),
Güemes (SDE),TRUE,club-atletico-guemes/cijej,guemes,2025-02-14 21:30:00,https://play.tycsports.com/primera-nacional/gueemes-sde-vs-patronato-id634421.html,https://www.promiedos.com.ar/game/club-atletico-guemes-vs-patronato-de-parana/edceeij,https://www.youtube.com/watch?v=r57UzrI7YdQ,1-1 (D),
San Martín (T),FALSE,san-martin-de-tucuman/hchb,sanmartintuc,2025-02-23 19:00:00,https://play.tycsports.com/primera-nacional/patronato-vs-san-martin-t-id636320.html,https://www.promiedos.com.ar/game/patronato-de-parana-vs-san-martin-de-tucuman/edceehi,https://youtu.be/W0_g2KwtnyI?si=NIVuZy7V0zXNTChQ,0-1 (L),https://www.boleteriavip.com.ar/event/description/969/patronato-vs-san-martin-t
Tristán Suárez,TRUE,tristan-suarez/hbbd,tristansuarez,2025-03-01 20:00:00,https://play.tycsports.com/primera-nacional/tristan-suarez-vs-patronato-id637723.html,https://www.promiedos.com.ar/game/tristan-suarez-vs-patronato-de-parana/edceefe,https://www.youtube.com/watch?v=gA33k-uc_bg&pp=ygUXdHJpc3RhbiBzdWFyZXogcGF0cm5hdG8%3D,2-0 (L),
Gimnasia y Tiro (S),FALSE,gimnasia-y-tiro/jchi,gimnasia_y_tiro,2025-03-09 19:00:00,,https://www.promiedos.com.ar/game/patronato-de-parana-vs-gimnasia-y-tiro/edceeeb,https://www.youtube.com/watch?v=vfPo7wazCjQ,0-0 (D),https://www.boleteriavip.com.ar/event/description/976/patronato-vs--gim-y-tiro
Deportivo Maipú,TRUE,deportivo-maipu/jcid,depmaipu,2025-03-16 17:30:00,https://play.tycsports.com/primera-nacional/deportivo-maipu-vs-patronato-id641043.html,https://www.promiedos.com.ar/game/deportivo-maipu-vs-patronato/edceebj,https://www.youtube.com/watch?v=xGqFdPSFwvY,1-1 (D),
Deportivo Madryn,FALSE,dep.-madryn/bbjbh,deportivo_madryn,2025-03-23 19:00:00,,https://www.promiedos.com.ar/game/patronato-vs-dep.-madryn/edceeae,,,
Alvarado,TRUE,alvarado/badei,alvarado,,,,,,
All Boys,FALSE,all-boys/hhij,allboys,,,,,,
Arsenal,TRUE,arsenal-sarandi/fjbd,arsenal,,,,,,
Colegiales,FALSE,colegiales/hbaf,colegiales,,,,,,
Atlanta,TRUE,atlanta/hbae,atlanta,,,,,,
Racing (C),FALSE,racing-cordoba/jcih,racing_cordoba,,,,,,
Quilmes,TRUE,quilmes/hccf,quilmes,,,,,,
San Miguel,FALSE,ca-san-miguel/bbiji,sanmiguel,,,,,,
Almagro,TRUE,almagro/hbag,almagro,,,,,,
Ferro Carril Oeste,FALSE,ferro-carril-oeste/hcbi,ferro,,,,,,